cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
cluster_182,bcb63002-8790-4a08-adb2-f8895092e4a2,"Haldiram - Frozen Spinach Paneer Samosa, 240 Gram",frozen spinach paneer samosa,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_182,caf8a508-95b7-4bab-9265-e9b3ae58beed,"Haldiram - Frozen Chilli Paneer Samosa, 240 Gram",frozen chilli paneer samosa,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_183,15f84d01-9193-43aa-bba3-ac5a1b508924,"Haldiram - Chana Cracker Heeng Jeera, Rs.10/-",chana cracker heeng jeera,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_183,42177407-1854-410e-9a6f-32beea6d0f4d,"Haldiram - Roasted Chana Cracker Heeng Jeera, 90 Gram",roasted chana cracker heeng jeera,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_183,c8fa4520-a8cf-4708-819a-fe40b9d738ee,"Haldiram - Chana Cracker Hing Jeera, Rs.5/-",chana cracker hing jeera,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_184,579ae5dd-efc9-499d-996f-745caad78cf4,"Haldiram - Chips Sweet Chilli, 13 Gram",chips sweet chilli,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_184,77ef63e0-5116-4cab-914f-72089c3a1bb1,"Haldiram - Sweet & Chilli Bar, 28 Gram",sweet chilli bar,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_184,ca90ecc9-bb22-4e65-87aa-d4e9669ac0df,"Haldiram - Chips Sweet Chilli, Rs.5/-",chips sweet chilli,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_184,d4a129df-9ab4-4906-9e90-55d1aa9f80d3,"Haldiram - Chilli Chatak Lachha, 200 Gram",chilli chatak lachha,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_185,a768a27a-8f95-4796-a243-8ac49fde1a27,"Haldiram - Chana Cracker, 18 Gram",chana cracker,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_185,d9692254-1b2d-4065-a6a1-1aa2b377b179,ROASTED CHANA CRACKER 200GM,roasted chana cracker,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_186,98bd13f8-8116-4506-a137-7ab698bf7bd1,"Haldiram - Gur Chana, 150 Gram",gur chana,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_186,a784de41-212b-4610-bcf5-fcfe2073c36c,"Haldiram - Gur Chana, Rs.10/-",gur chana,Crunchy Snack,Crunchy Snack,Crunchy Snack
