cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
no_sisters,8de2d687-c137-4f82-9721-a4fcc83e9c43,CORNITOS Cheese And Herbs 60g X 18 Case 1080 Grams,cheese and herbs x case rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,8ed8743f-c4d2-4909-b3e9-e39c470d03be,Cornitos Cheese Nachos Retail Can 50 Grams,cheese nachos retail rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,90165c57-6a88-4ce1-8dfc-fc7139ac6787,CORNITOS Zaatar Almonds 200g 200 Grams,zaatar almonds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,953d1809-9ea7-46e2-a7ce-5dcd24afab60,CORNITOS NACHO CRISPS TOMATO MEXICANA 20 GM,nacho crisps tomato mexicana,Crunchy Snack,Crunchy Snack,Crunchy Snack
no_sisters,99123b64-070f-4ec4-9fc4-73b81361c3c0,CORNITOS Pineapple Chunky Salsa 330g 330 Grams,pineapple chunky salsa,Desserts/Desserts Sauces/Toppings,"Desserts, Desserts Sauces, Toppings",Desserts
no_sisters,9c591f1c-b4f4-4572-a322-b40975d94799,CORNITOS BEETROOT Nachos 200g Case 200 Grams,beetroot nachos case rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,9f1e433c-2a2a-45f3-9fa7-d434db7eadf5,CORNITOS Sizzlin Jalapeno Nachos And Salsa Dip Tray X 18 Baked Cooked Corn Chips 1440 Grams,sizzlin jalapeno nachos and salsa dip tray x baked cooked chips,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,a0514401-2fd1-4756-a8cf-cf8775fbb80f,CORNITOS Nutty Fiesta Roasted Nuts 200 Grams,nutty fiesta roasted nuts,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,a79311c5-f9a9-4d7a-bdbe-b992caf5cb58,Cornitos Peri 60 Grams,cornitos peri 60 grams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,a95b95c8-c1dd-4e84-a388-da5f6707fbc7,CORNITOS Sea Salt X 16 BAKED AND FRIED CORN CHIPS 2400 Grams,sea salt x baked and fried chips,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,b0d8795c-8a2c-4c44-8edf-7d9c5efbceff,Cornitos Sea Salt 150 Grams,sea salt rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,b236f493-0ce6-4572-ac37-5163cb466f1a,CORNITOS Barbeque Nachos Retail Can BAKED AND FRIED CORN CHIPS Cans 50 Grams,barbeque nachos retail baked and fried chips cans rams,Sweets/Snacks,"Sweets, Snacks",Sweets
